iter	Passed	Remaining
408	5148	4922
409	5157	4906
410	5165	4889
411	5176	4874
412	5184	4857
413	5194	4843
414	5204	4827
415	5214	4813
416	5223	4797
417	5231	4780
418	5243	4767
419	5251	4751
420	5262	4737
421	5270	4721
422	5279	4705
423	5287	4689
424	5296	4673
425	5307	4659
426	5315	4643
427	5331	4633
428	5342	4620
429	5350	4603
430	5360	4588
431	5371	4576
432	5381	4561
433	5393	4548
434	5405	4535
435	5412	4518
436	5426	4507
437	5435	4492
438	5447	4479
439	5458	4465
440	5469	4452
441	5481	4440
442	5496	4429
443	5507	4416
444	5517	4401
445	5531	4390
446	5546	4379
447	5556	4365
448	5566	4351
449	5579	4339
450	5592	4328
451	5606	4316
452	5616	4302
453	5627	4288
454	5640	4277
455	5653	4265
456	5663	4251
457	5677	4239
458	5693	4229
459	5706	4217
460	5718	4205
461	5727	4190
462	5739	4177
463	5748	4163
464	5758	4148
465	5772	4137
466	5781	4122
467	5791	4108
468	5806	4097
469	5817	4084
470	5826	4070
471	5839	4058
472	5849	4044
473	5864	4033
474	5874	4019
475	5892	4011
476	5905	3998
477	5917	3986
478	5926	3971
479	5938	3958
480	5952	3947
481	5965	3935
482	5978	3924
483	5990	3911
484	6002	3898
485	6011	3884
486	6021	3869
487	6031	3856
488	6040	3841
489	6053	3829
490	6062	3815
491	6074	3802
492	6086	3790
493	6098	3777
494	6106	3762
495	6117	3749
496	6126	3735
497	6140	3724
498	6150	3709
499	6157	3694
500	6166	3679
501	6182	3670
502	6195	3658
503	6204	3643
504	6217	3631
505	6229	3619
506	6237	3604
507	6251	3593
508	6264	3581
509	6274	3567
510	6288	3556
511	6301	3544
512	6313	3532
513	6327	3520
514	6335	3506
515	6348	3494
516	6360	3481
517	6375	3471
518	6392	3461
519	6401	3446
520	6413	3434
521	6426	3422
522	6435	3408
523	6447	3395
524	6459	3383
525	6467	3368
526	6481	3357
527	6495	3346
528	6506	3333
529	6513	3318
530	6523	3304
531	6532	3290
532	6544	3278
533	6553	3264
534	6565	3251
535	6578	3239
536	6590	3227
537	6602	3215
538	6612	3201
539	6623	3189
540	6636	3176
541	6652	3166
542	6662	3153
543	6676	3141
544	6691	3130
545	6703	3118
546	6712	3104
547	6722	3091
548	6731	3077
549	6743	3065
550	6759	3054
551	6776	3044
552	6788	3032
553	6798	3018
554	6814	3008
555	6825	2995
556	6836	2982
557	6850	2970
558	6858	2956
559	6874	2946
560	6886	2933
561	6894	2919
562	6907	2907
563	6917	2894
564	6926	2880
565	6939	2868
566	6950	2856
567	6958	2842
568	6970	2829
569	6984	2818
570	6998	2806
571	7007	2793
572	7018	2780
573	7027	2766
574	7036	2753
575	7047	2740
576	7055	2726
577	7064	2713
578	7072	2699
579	7085	2687
580	7094	2674
581	7103	2660
582	7116	2649
583	7124	2635
584	7134	2621
585	7143	2608
586	7153	2595
587	7165	2583
588	7178	2571
589	7192	2559
590	7203	2547
591	7217	2535
592	7234	2525
593	7250	2514
594	7260	2501
595	7274	2489
596	7286	2477
597	7300	2465
598	7312	2453
599	7325	2441
600	7334	2428
601	7348	2417
602	7360	2404
603	7372	2392
604	7385	2380
605	7399	2368
606	7409	2355
607	7421	2343
608	7433	2331
609	7446	2319
610	7455	2306
611	7468	2294
612	7481	2282
613	7496	2270
614	7510	2259
615	7522	2246
616	7538	2235
617	7548	2222
618	7560	2210
619	7572	2198
620	7591	2188
621	7600	2174
622	7613	2163
623	7627	2151
624	7635	2137
625	7645	2125
626	7654	2112
627	7665	2099
628	7678	2087
629	7692	2075
630	7707	2064
631	7715	2050
632	7728	2039
633	7741	2026
634	7750	2013
635	7761	2001
636	7776	1989
637	7792	1978
638	7802	1965
639	7814	1953
640	7831	1942
641	7843	1930
642	7855	1918
643	7866	1905
644	7877	1892
645	7890	1881
646	7899	1868
647	7909	1855
648	7924	1843
649	7935	1831
650	7944	1818
651	7957	1806
652	7971	1794
653	7979	1781
654	7991	1769
655	8003	1756
656	8014	1744
657	8024	1731
658	8036	1719
659	8043	1706
660	8056	1694
661	8070	1682
662	8086	1670
663	8095	1658
664	8106	1645
665	8120	1633
666	8130	1621
667	8141	1608
668	8153	1596
669	8164	1584
670	8172	1571
671	8184	1559
672	8199	1547
673	8211	1535
674	8229	1523
675	8238	1511
676	8248	1498
677	8257	1485
678	8270	1473
679	8284	1461
680	8293	1449
681	8305	1436
682	8319	1425
683	8332	1413
684	8341	1400
685	8353	1388
686	8365	1375
687	8374	1363
688	8391	1351
689	8402	1339
690	8416	1327
691	8428	1315
692	8439	1303
693	8452	1290
694	8464	1278
695	8474	1266
696	8487	1254
697	8499	1242
698	8508	1229
699	8519	1217
700	8532	1204
701	8548	1193
702	8564	1181
703	8573	1169
704	8582	1156
705	8594	1144
706	8607	1132
707	8615	1119
708	8627	1107
709	8637	1094
710	8647	1082
711	8658	1070
712	8666	1057
713	8678	1045
714	8691	1033
715	8700	1020
716	8711	1008
717	8723	996
718	8731	983
719	8743	971
720	8753	959
721	8762	946
722	8775	934
723	8784	922
724	8793	909
725	8803	897
726	8811	884
727	8820	872
728	8828	859
729	8838	847
730	8847	835
731	8858	822
732	8868	810
733	8877	798
734	8889	786
735	8898	773
736	8908	761
737	8920	749
738	8929	737
739	8939	724
740	8947	712
741	8958	700
742	8973	688
743	8985	676
744	8994	664
745	9012	652
746	9027	640
747	9041	628
748	9056	616
749	9069	604
750	9078	592
751	9089	580
752	9098	567
753	9111	555
754	9120	543
755	9129	531
756	9137	519
757	9149	506
758	9159	494
759	9169	482
760	9178	470
761	9187	458
762	9197	446
763	9204	433
764	9218	421
765	9227	409
766	9236	397
767	9244	385
768	9253	373
769	9264	360
770	9274	348
771	9288	336
772	9301	324
773	9313	312
774	9322	300
775	9333	288
776	9341	276
777	9351	264
778	9359	252
779	9367	240
780	9376	228
781	9385	216
782	9399	204
783	9415	192
784	9430	180
785	9451	168
786	9477	156
787	9495	144
788	9513	132
789	9527	120
790	9541	108
791	9557	96
792	9573	84
793	9588	72
794	9601	60
795	9619	48
796	9633	36
797	9648	24
798	9661	12
799	9672	0
