iter	RMSE
209	8.005868311
210	8.003982745
211	8.002258711
212	8.000724361
213	7.999278265
214	7.998280762
215	7.995905711
216	7.994367811
217	7.992756537
218	7.990860108
219	7.989731688
220	7.988189149
221	7.986676098
222	7.984876934
223	7.982946424
224	7.981700962
225	7.979654589
226	7.978201459
227	7.976035753
228	7.97462571
229	7.972911302
230	7.971796159
231	7.970227027
232	7.96852262
233	7.966500572
234	7.964925931
235	7.962757062
236	7.961622066
237	7.959641129
238	7.958490738
239	7.956878318
240	7.954789082
241	7.953298793
242	7.95169997
243	7.949818971
244	7.948337851
245	7.946851769
246	7.945367587
247	7.943961101
248	7.942545405
249	7.94148574
250	7.940137631
251	7.938502973
252	7.936831284
253	7.935501721
254	7.933601148
255	7.93201777
256	7.930709535
257	7.929333888
258	7.927655395
259	7.926574268
260	7.925149575
261	7.923412692
262	7.922007069
263	7.920702177
264	7.919070245
265	7.917910483
266	7.915778859
267	7.914581142
268	7.912811057
269	7.91127604
270	7.909208265
271	7.907957523
272	7.906376335
273	7.904875875
274	7.903328559
275	7.901522448
276	7.899531225
277	7.898440255
278	7.897167541
279	7.895513081
280	7.894125148
281	7.893097251
282	7.8914507
283	7.889897601
284	7.888681309
285	7.88747867
286	7.886455706
287	7.884448353
288	7.883030969
289	7.882020252
290	7.881049603
291	7.87960322
292	7.877958933
293	7.876880178
294	7.875653974
295	7.87475145
296	7.873109768
297	7.871906483
298	7.870601415
299	7.868969402
300	7.867684319
301	7.866557566
302	7.86563579
303	7.864425357
304	7.863225933
305	7.861868869
306	7.860509475
307	7.858583122
308	7.857483441
309	7.855959541
310	7.854925695
311	7.854245871
312	7.852660248
313	7.851663675
314	7.850316352
315	7.849043265
316	7.848049893
317	7.846516349
318	7.845467576
319	7.844292164
320	7.843197712
321	7.842357361
322	7.841115359
323	7.840040712
324	7.838231879
325	7.837214417
326	7.835849599
327	7.834901282
328	7.833974047
329	7.832325114
330	7.831408692
331	7.829821241
332	7.828327148
333	7.827423394
334	7.825739373
335	7.824973487
336	7.823834605
337	7.822968161
338	7.821919523
339	7.821226813
340	7.820150192
341	7.819305903
342	7.817161518
343	7.815221503
344	7.813731648
345	7.812512506
346	7.811660355
347	7.81082365
348	7.809563364
349	7.807855767
350	7.806819545
351	7.805166102
352	7.804278403
353	7.803369599
354	7.802588747
355	7.801310344
356	7.800469967
357	7.799420228
358	7.798315731
359	7.797358391
360	7.796595102
361	7.795989368
362	7.795157077
363	7.79407642
364	7.793198792
365	7.791238347
366	7.790038626
367	7.789127185
368	7.788009704
369	7.786973092
370	7.785727694
371	7.784587803
372	7.783496803
373	7.782196406
374	7.780544214
375	7.779628039
376	7.778728152
377	7.778204823
378	7.777444055
379	7.776517073
380	7.775619438
381	7.774689233
382	7.774090275
383	7.772897717
384	7.77161791
385	7.770687222
386	7.769656087
387	7.768665056
388	7.767876273
389	7.766399855
390	7.765432809
391	7.764168225
392	7.763374882
393	7.762404276
394	7.761180808
395	7.760098564
396	7.759013054
397	7.757865577
398	7.757321672
399	7.756277095
400	7.755313603
401	7.753645248
402	7.752642634
403	7.75163043
404	7.750556143
405	7.750094243
406	7.748566601
407	7.747447398
408	7.745715998
409	7.74482057
410	7.744115043
411	7.74264672
412	7.74153055
413	7.740415166
414	7.739428846
415	7.738791149
416	7.738052328
417	7.737090635
418	7.736348825
419	7.735535966
420	7.734447424
421	7.733530547
422	7.732549388
423	7.731851924
424	7.731037076
425	7.729742052
426	7.72896493
427	7.728069791
428	7.727170158
429	7.726586203
430	7.725675324
431	7.7252408
432	7.724498196
433	7.72368612
434	7.722719743
435	7.72214349
436	7.721476308
437	7.720142906
438	7.719083397
439	7.718525322
440	7.717400942
441	7.716762016
442	7.715814713
443	7.715342943
444	7.714446257
445	7.713816381
446	7.712447154
447	7.711280973
448	7.710708704
449	7.709965531
450	7.709170754
451	7.708267137
452	7.707411691
453	7.706614736
454	7.705749952
455	7.705041431
456	7.704254593
457	7.703879342
458	7.702968757
459	7.702588798
460	7.701760182
461	7.70108457
462	7.699889404
463	7.699145263
464	7.698520542
465	7.697467068
466	7.6967138
467	7.695824115
468	7.695020311
469	7.694304144
470	7.693852723
471	7.692849649
472	7.691976902
473	7.691083895
474	7.689930591
475	7.68924354
476	7.68844256
477	7.687563436
478	7.686588352
479	7.685454553
480	7.684422933
481	7.683835347
482	7.683004739
483	7.682365272
484	7.681455767
485	7.680258234
486	7.679485861
487	7.678700017
488	7.677800275
489	7.677220302
490	7.676439266
491	7.675729456
492	7.67514479
493	7.674293924
494	7.673415052
495	7.672823157
496	7.671827573
497	7.670572424
498	7.669970173
499	7.669367794
500	7.668691269
501	7.66799405
502	7.667008083
503	7.666158108
504	7.665279276
505	7.664651924
506	7.663670739
507	7.66271932
508	7.662135413
509	7.661389493
510	7.660260564
511	7.659180328
512	7.658604688
513	7.657834216
514	7.65718657
515	7.656202425
516	7.655326264
517	7.654301581
518	7.653697923
519	7.652918962
520	7.652166503
521	7.651192174
522	7.650639211
523	7.649934896
524	7.649247724
525	7.64871162
526	7.647855622
527	7.647373466
528	7.64645819
529	7.645945122
530	7.645143893
531	7.644303295
532	7.643530817
533	7.643017035
534	7.642129166
535	7.641480843
536	7.640667752
537	7.63988901
538	7.639050519
539	7.638222108
540	7.637391642
541	7.636557736
542	7.635900437
543	7.635376771
544	7.634545216
545	7.633798592
546	7.633227019
547	7.632785888
548	7.632242286
549	7.63140842
550	7.630474407
551	7.62986421
552	7.629161291
553	7.628407268
554	7.627622239
555	7.626604577
556	7.626045102
557	7.625355768
558	7.624838667
559	7.6243772
560	7.623517584
561	7.622901405
562	7.621825745
563	7.621163721
564	7.620497986
565	7.619995618
566	7.61905086
567	7.618136432
568	7.617465177
569	7.616442268
570	7.615625671
571	7.615215088
572	7.614612436
573	7.614062054
574	7.613316202
575	7.612731883
576	7.611970561
577	7.611388786
578	7.610766549
579	7.609779776
580	7.608974576
581	7.608455293
582	7.607931289
583	7.607263628
584	7.606479973
585	7.605496833
586	7.604921082
587	7.604296753
588	7.603502327
589	7.602783462
590	7.601882344
591	7.601075324
592	7.599924198
593	7.59915452
594	7.59805306
595	7.597308668
596	7.596772343
597	7.596178982
598	7.595138331
599	7.594332777
600	7.593618438
601	7.59278708
602	7.592315498
603	7.591636194
604	7.591036133
605	7.590449959
606	7.589808826
607	7.589060389
608	7.588312506
609	7.587690569
610	7.586829079
611	7.586394996
612	7.585949898
613	7.585459355
614	7.584705017
615	7.584031086
616	7.58275592
617	7.582382165
618	7.581617656
619	7.580962753
620	7.580023684
621	7.579270669
622	7.578501685
623	7.57756501
624	7.576726375
625	7.575982783
626	7.575046917
627	7.574289092
628	7.573534078
629	7.573067365
630	7.572296484
631	7.571852717
632	7.570790404
633	7.570008096
634	7.569369697
635	7.568720253
636	7.568338904
637	7.567720672
638	7.566713074
639	7.566035921
640	7.565357938
641	7.56476776
642	7.563973737
643	7.563205347
644	7.562698674
645	7.562096566
646	7.561536304
647	7.560942809
648	7.559884635
649	7.559320481
650	7.55811364
651	7.557586577
652	7.557165339
653	7.55657975
654	7.55597536
655	7.555586453
656	7.5544762
657	7.553929423
658	7.553419985
659	7.553130621
660	7.552509405
661	7.551970723
662	7.551051166
663	7.550419296
664	7.549755337
665	7.549308679
666	7.548745043
667	7.54802933
668	7.547040293
669	7.546569626
670	7.546222902
671	7.545801002
672	7.545038808
673	7.544123423
674	7.543079956
675	7.542753397
676	7.542184596
677	7.541542409
678	7.541058287
679	7.540567146
680	7.5401035
681	7.539494111
682	7.538983276
683	7.53828756
684	7.537643937
685	7.537029341
686	7.536683908
687	7.535677744
688	7.534849217
689	7.534285041
690	7.533737949
691	7.532915182
692	7.532469488
693	7.531721628
694	7.531322994
695	7.530810514
696	7.530112174
697	7.529626211
698	7.528789398
699	7.52831047
700	7.527451188
701	7.52705651
702	7.526380489
703	7.52586548
704	7.52535177
705	7.524937516
706	7.524220407
707	7.523474153
708	7.52267507
709	7.52185028
710	7.521319586
711	7.520817677
712	7.520318201
713	7.519679262
714	7.519163517
715	7.518700771
716	7.518174788
717	7.517733245
718	7.516965017
719	7.516590562
720	7.515830315
721	7.515206913
722	7.514462674
723	7.513908789
724	7.513142019
725	7.512558407
726	7.51193062
727	7.511442728
728	7.51090804
729	7.51048763
730	7.509896722
731	7.509470647
732	7.509030093
733	7.50866064
734	7.508134416
735	7.507609781
736	7.507143321
737	7.50675637
738	7.506378127
739	7.506014031
740	7.505255685
741	7.504462257
742	7.503572135
743	7.503117171
744	7.502731536
745	7.502295566
746	7.501932104
747	7.501144143
748	7.500760704
749	7.50038047
750	7.499953805
751	7.499673791
752	7.499227241
753	7.49882292
754	7.49842421
755	7.49765708
756	7.496997656
757	7.49670138
758	7.495801527
759	7.495405604
760	7.495037937
761	7.494586616
762	7.49388522
763	7.493608909
764	7.492932992
765	7.492402269
766	7.491949604
767	7.491235521
768	7.490380956
769	7.489965258
770	7.489406369
771	7.489155525
772	7.488430282
773	7.487798791
774	7.487149492
775	7.486741337
776	7.486257567
777	7.486017574
778	7.485730011
779	7.48522319
780	7.485023945
781	7.484379096
782	7.483792233
783	7.483134085
784	7.482481039
785	7.481940093
786	7.481159153
787	7.480711634
788	7.480147784
789	7.479629894
790	7.478768396
791	7.478152874
792	7.477740547
793	7.477159053
794	7.476786849
795	7.476300329
796	7.475883305
797	7.47523118
798	7.474743007
799	7.474306119
